Word;--;Document;--;Sentence
heavy;--;doc5.txt;--;Month after month, and then year after year, I’ve watched with a heavy heart as my deepest suspicions about this war’s conception have been confirmed and exacerbated in its disastrous implementation.
cooperative;--;doc6.txt;--;We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner.
welfare;--;doc4.txt;--;In the end, if the people cannot trust their government to do the job for which it exists - to protect them and to promote their common welfare - all else is lost.
welfare;--;doc2.txt;--;I've seen it in Illinois, when we provided health care to more children and moved more families from welfare to work.
battle;--;doc1.txt;--;I want to win that next battle - for better schools, and better jobs, and health care for all.
battle;--;doc5.txt;--;The National Intelligence Estimate, which details how we’re creating more terrorists in Iraq than we’re defeating, is the most obvious example of how the war is hurting our efforts in the larger battle against terrorism.
battle;--;doc2.txt;--;As Commander-in-Chief, I will never hesitate to defend this nation, but I will only send our troops into harm's way with a clear mission and a sacred commitment to give them the equipment they need in battle and the care and benefits they deserve when they come home.
follow;--;doc2.txt;--;If John McCain wants to follow George Bush with more tough talk and bad strategy, that is his choice - but it is not the change we need.
settlement;--;doc5.txt;--;But we need to also move towards more condition-based aid packages where economic assistance is contingent upon the ability of Iraqis to make measurable progress on reducing sectarian violence and forging a lasting political settlement.
children;--;doc4.txt;--;As our parents' children, we have the opportunity to learn from these mistakes and disappointments.
children;--;doc1.txt;--;Each of us, in our own lives, will have to accept responsibility - for instilling an ethic of achievement in our children, for adapting to a more competitive economy, for strengthening our communities, and sharing some measure of sacrifice.
children;--;doc6.txt;--;Much of what President Kennedy described in 1963 remains true to this day - and we owe it to ourselves and our children to get it right.
children;--;doc3.txt;--;Our time to leave our children a country that is freer and kinder, more prosperous and more just than the place we grew up.
children;--;doc2.txt;--;Not with so many children to educate, and so many veterans to care for.
issues;--;doc4.txt;--;You enjoy a robust civil society; a press that's free, fair, and honest; and a strong partnership with my own country that has resulted in critical cooperation on terrorist issues, real strides in fighting disease and poverty, and an important alliance on fostering regional stability.
issues;--;doc6.txt;--;This does not mean that we should ease up one bit on issues affecting our national security.
issues;--;doc5.txt;--;“rejected the notion of an American ‘timeline’ for action on urgent Iraqi political issues; ordered American commanders to lift checkpoints they had set up around the Shiite district of Sadr City to hunt for a kidnapped American soldier and a fugitive Shiite death squad leader; and blamed the Americans for the deteriorating security situation in Iraq.”This is now the reality of Iraq.
ethics;--;doc1.txt;--;I was proud to help lead the fight in Congress that led to the most sweeping ethics reform since Watergate.
increase;--;doc4.txt;--;Of course, the best way to reduce bureaucracy and increase pay is to create more private sector jobs.
increase;--;doc5.txt;--;An increase in the quality and quantity of U.S. personnel in training and advisory roles can guard against militia infiltration of Iraqi units; develop the trust and goodwill of Iraqi soldiers and the local populace; and lead to better intelligence while undercutting grassroots support for the insurgents.
certainly;--;doc4.txt;--;Certainly it is not due to lack of effort on the part of ordinary Kenyans - we know how hard Kenyans are willing to work, the tremendous sacrifices that Kenyan mothers make for their children, the Herculean efforts that Kenyan fathers make for their families.
certainly;--;doc6.txt;--;The Department of Energy and others have certainly made progress in converting civilian reactors to low-enriched uranium, taking back spent fuel, and closing unnecessary facilities.
bribes;--;doc4.txt;--;As well as numerous Kenyan men and women who have refused to pay bribes to get civil servants to perform their duties; the auditors and inspectors general who have done the job before them accurately and fairly, regardless of where the facts have led; the journalists who asked questions and pushed for answers when it may have been more lucrative to look the other way, or whip up a convenient fiction.
terms;--;doc4.txt;--;Third, Kenya is hurt from factors unique to Africa's geography and place in the world -- disease, distance from viable markets and especially terms of trade.
terms;--;doc2.txt;--;Because next week, in Minnesota, the same party that brought you two terms of George Bush and Dick Cheney will ask this country for a third.
uphold;--;doc5.txt;--;making the hard choices and sacrifices necessary to uphold our most deeply held values and ideals.
uphold;--;doc2.txt;--;The reality of gun ownership may be different for hunters in rural Ohio than for those plagued by gang-violence in Cleveland, but don't tell me we can't uphold the Second Amendment while keeping AK-47s out of the hands of criminals.
crises;--;doc4.txt;--;It makes it impossible to respond effectively to crises -- whether it's the HIV/AIDS pandemic or malaria or crippling drought.
crises;--;doc1.txt;--;And when all else fails, when Katrina happens, or the death toll in Iraq mounts, we've been told that our crises are somebody else's fault.
show;--;doc4.txt;--;And then there are anonymous Kenyan whistleblowers who show us what is, so that we can all work together to demand what should be.
show;--;doc5.txt;--;And polls show that almost two-thirds of all Iraqis now sympathize with attacks on American soldiers.
father;--;doc4.txt;--;In today's Kenya - a Kenya already more open and less repressive than in my father's day - it is that courage that will bring the reform so many of you so desperately want and deserve.
father;--;doc3.txt;--;And I'd have to explain that I got the name from my father, who was from Kenya.
young;--;doc4.txt;--;As I said at the outset, I did not know my father well - he returned to Kenya from America when I was still young.
young;--;doc1.txt;--;Today we grieve for the families who have lost loved ones, the hearts that have been broken, and the young lives that could have been.
young;--;doc3.txt;--;And she saw young people of every race and every creed take a bus down to Mississippi and Alabama to register voters because they believed.
young;--;doc2.txt;--;And it is that promise that forty five years ago today, brought Americans from every corner of this land to stand together on a Mall in Washington, before Lincoln's Memorial, and hear a young preacher from Georgia speak of his dream.
send;--;doc3.txt;--;And how she watched FDR lift this nation out of fear and send millions to college on the GI Bill and lift millions out of poverty with Social Security.
send;--;doc5.txt;--;Such a reduced but active presence will also send a clear message to hostile countries like Iran and Syria that we intend to remain a key player in this region.
send;--;doc2.txt;--;As Commander-in-Chief, I will never hesitate to defend this nation, but I will only send our troops into harm's way with a clear mission and a sacred commitment to give them the equipment they need in battle and the care and benefits they deserve when they come home.
spirit;--;doc2.txt;--;Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.
supported;--;doc5.txt;--;Many who supported the original decision to go to war in Iraq have argued that it has been a failure of implementation.
iraqi;--;doc5.txt;--;The goal of this conference should be to get foreign fighters out of Iraq, prevent a further descent into civil war, and push the various Iraqi factions towards a political solution.
iraqi;--;doc2.txt;--;And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war.
finally;--;doc4.txt;--;Finally, ethnic-based tribal politics has to stop.
finally;--;doc1.txt;--;Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most.
finally;--;doc3.txt;--;I've had enough of giving billions away to the oil companies when we're told that we can't invest in the renewable energy that will create jobs and lower gas prices and finally free us from our dependence on the oil wells of Saudi Arabia.
finally;--;doc5.txt;--;Finally, we have to realize that the entire Middle East has an enormous stake in the outcome of Iraq, and we must engage neighboring countries in finding a solution.
finally;--;doc2.txt;--;Now is the time to finally keep the promise of affordable, accessible health care for every single American.
program;--;doc6.txt;--;And it means more sustained engagement, including more senior-level visits to Nunn-Lugar program sites.
voted;--;doc4.txt;--;The Kenyan people are crying out for real change, and whether one voted orange or banana in last year's referendum, the message that many Kenyans seemed to be sending was one of dissatisfaction with the pace of reform, and real frustration with continued tolerance of corruption at high levels.
voted;--;doc5.txt;--;Senators, Republican and Democrat, including myself, had also voted in favor of a resolution demanding that 2006 be a year of significant transition in Iraq.
voted;--;doc2.txt;--;In the young people who voted for the first time, and in those who got involved again after a very long time.
terror;--;doc3.txt;--;In a century just six years old, our faith has been shaken by war and terror, disaster and despair, threats to the middle-class dream, and scandal and corruption in our government.
terror;--;doc5.txt;--;And now, after three long years of watching the same back and forth in Washington, the American people have sent a clear message that the days of using the war on terror as a political football are over.
safety;--;doc4.txt;--;Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.
safety;--;doc6.txt;--;Not to mention the environmental and public health and safety catastrophe that could come from a failure to store and transport these materials safely and securely.
safety;--;doc5.txt;--;We cannot compromise the safety of our troops, and we should be willing to adjust to realities on the ground.
reforms;--;doc4.txt;--;And so we know that there is more work to be done - more reforms to be made.
reforms;--;doc1.txt;--;That's why we made the tax system more fair and just for working families, and that's why we passed ethics reforms that the cynics said could never, ever be passed.
must;--;doc4.txt;--;But, Kenya must do its part.
must;--;doc3.txt;--;Whether it's the war or Katrina or their health care or their jobs, you hear people say that we've finally arrived at a moment where something must change.
must;--;doc5.txt;--;But to guard against isolationist sentiments in this country, we must change conditions in Iraq and the policy that has characterized our time there ?
must;--;doc2.txt;--;At this moment, in this election, we must pledge once more to march into the future.
must;--;doc1.txt;--;This campaign must be the occasion, the vehicle, of your hopes, and your dreams.
must;--;doc6.txt;--;We must safeguard these dangerous weapons, material, and expertise.
veterans;--;doc1.txt;--;Finally, there is one other thing that is not too late to get right about this war - and that is the homecoming of the men and women - our veterans - who have sacrificed the most.
veterans;--;doc3.txt;--;I've had enough of being told that we can't afford body armor for our troops and health care for our veterans and benefits for the wounded heroes who've risked their lives for this country.
veterans;--;doc2.txt;--;Not with so many children to educate, and so many veterans to care for.
resources;--;doc4.txt;--;When people are judged by merit, not connections, then the best and brightest can lead the country, people will work hard, and the entire economy will grow - everyone will benefit and more resources will be available for all, not just select groups.
resources;--;doc1.txt;--;Let's set high standards for our schools and give them the resources they need to succeed.
resources;--;doc5.txt;--;The overwhelming presence of our troops, our intelligence, and our resources in Iraq has stretched our military to the breaking point and distracted us from the growing threats of a dangerous world.
resources;--;doc2.txt;--;When John McCain said we could just "muddle through" in Afghanistan, I argued for more resources and more troops to finish the fight against the terrorists who actually attacked us on 9/11, and made clear that we must take out Osama bin Laden and his lieutenants if we have them in our sights.
case;--;doc5.txt;--;In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ?
case;--;doc2.txt;--;To President Clinton, who last night made the case for change as only he can make it; to Ted Kennedy, who embodies the spirit of service; and to the next Vice President of the United States, Joe Biden, I thank you.
woman;--;doc3.txt;--;And ever since I met this frail, one-hundred-and-five-year-old African-American woman who had found the strength to leave her house and come to a rally because she believed that her voice mattered, I've thought about all she's seen in her life.
woman;--;doc2.txt;--;And when I hear a woman talk about the difficulties of starting her own business, I think about my grandmother, who worked her way up from the secretarial pool to middle-management, despite years of being passed over for promotions because she was a woman.
risk;--;doc2.txt;--;You understand that in this election, the greatest risk we can take is to try the same old politics with the same old players and expect a different result.
takes;--;doc4.txt;--;I know that honoring their memory and making that freedom real may seem like an impossible task - an effort bigger than you can imagine - but sometimes all it takes to move us there is doing what little you can to right the wrongs you see.
takes;--;doc2.txt;--;But what I will not do is suggest that the Senator takes his positions for political purposes.
organizations;--;doc6.txt;--;The answers to these questions will require sustained involvement by the Executive Branch, Congress, non-governmental organizations, and the international community.
organizations;--;doc5.txt;--;and most importantly, the prevention of these terrorist organizations from obtaining weapons of mass destruction -- will require the cooperation of many nations.
far;--;doc1.txt;--;Let me begin by saying thanks to all you who've traveled, from far and wide, to brave the cold today.
far;--;doc6.txt;--;But we've all seen how it could take far less time for these weapons to leak out and travel around the world, fueling insurgencies and violent conflicts from Africa to Afghanistan.
far;--;doc3.txt;--;She believed that over a span of three centuries, she had seen enough to know that there is no challenge too great, no injustice too crippling, no destiny too far out of reach for America.
far;--;doc5.txt;--;So far, Congress has given the Administration unprecedented flexibility in determining how to spend more than $20 billion dollars in Iraq.
horror;--;doc6.txt;--;Some weapons experts believe that terrorists are likely to find enough fissile material to build a bomb in the next ten years - and we can imagine with horror what the world will be like if they succeed.
rise;--;doc3.txt;--;It allows us to say to those whose health care or tuition may rise faster than they can afford - life isn't fair.
rise;--;doc2.txt;--;I've seen it in the workers who would rather cut their hours back a day than see their friends lose their jobs, in the soldiers who re-enlist after losing a limb, in the good neighbors who take a stranger in when a hurricane strikes and the floodwaters rise.
personnel;--;doc5.txt;--;An increase in the quality and quantity of U.S. personnel in training and advisory roles can guard against militia infiltration of Iraqi units; develop the trust and goodwill of Iraqi soldiers and the local populace; and lead to better intelligence while undercutting grassroots support for the insurgents.
rogue;--;doc6.txt;--;We've heard the horror stories - attempts by rogue states to recruit former Soviet weapons scientists; terrorists shopping for weapons grade materials on the black market.
rogue;--;doc5.txt;--;As we change strategy in Iraq, we should also think about what Iraq has taught us about America’s strategy in the wider struggle against rogue threats and international terrorism.
every;--;doc4.txt;--;It's a human problem, and it has existed in some form in almost every society.
every;--;doc3.txt;--;Will she see greater opportunities for every citizen of this country?
every;--;doc5.txt;--;And this has been true for those of us who looked on the rubble and ashes of 9/11, and made a solemn pledge that such an atrocity would never again happen on United States soil; that we would do whatever it took to hunt down those responsible, and use every tool at our disposal ?
every;--;doc2.txt;--;But what the people heard instead - people of every creed and color, from every walk of life - is that in America, our destiny is inextricably linked.
every;--;doc1.txt;--;After all, every four years, candidates from both parties make similar promises, and I expect this year will be no different.
every;--;doc6.txt;--;Outstanding career officials who run the Nunn-Lugar program -- people like Col. Jim Reid and Andy Weber who are here this morning -- will be there every step of the way to ensure that U.S. interests are protected.
difficult;--;doc6.txt;--;It will be difficult.
difficult;--;doc3.txt;--;Well, I thought about it, and then I did what every wise man does when faced with a difficult decision: I prayed, and I asked my wife.
difficult;--;doc5.txt;--;Of course, in order to convince the various factions to embark on the admittedly difficult task of disarming their militias, the Iraqi government must also make headway on reforming the institutions that support the military and the police.
decide;--;doc4.txt;--;You will decide if the standards and the rules will be the same for everyone - regardless of ethnicity or of wealth.
fall;--;doc4.txt;--;In just the last year, our own U.S. Congress has seen a representative resign after taking bribes, and several others fall under investigation for using their public office for private gain.
fall;--;doc2.txt;--;Yes, we must provide more ladders to success for young men who fall into lives of crime and despair.
uncertain;--;doc5.txt;--;Throughout American history, there have been moments that call on us to meet the challenges of an uncertain world, and pay whatever price is required to secure our freedom.
uncertain;--;doc2.txt;--;Instead, it is that American spirit - that American promise - that pushes us forward even when the path is uncertain; that binds us together in spite of our differences; that makes us fix our eye not on what is seen, but what is unseen, that better place around the bend.
difference;--;doc4.txt;--;In fact, one recent survey showed that corruption in Kenya costs local firms 6% of their revenues, the difference between good-paying jobs in Kenya or somewhere else.
difference;--;doc6.txt;--;By destroying these inventories, this is one place we could be making more of a difference.
difference;--;doc3.txt;--;That even though we may get involved out of civic obligation every few years, we don't always have confidence that government can make a difference in our lives.
difference;--;doc2.txt;--;The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.
bringing;--;doc1.txt;--;America, it's time to start bringing our troops home.
bringing;--;doc6.txt;--;And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.
bringing;--;doc3.txt;--;Thank you Roger Hickey and Bob Borosage for bringing us all together today and thank you for your leadership in the cause of a more progressive America.
timetable;--;doc5.txt;--;I am not suggesting that this timetable be overly-rigid.
pledge;--;doc5.txt;--;And this has been true for those of us who looked on the rubble and ashes of 9/11, and made a solemn pledge that such an atrocity would never again happen on United States soil; that we would do whatever it took to hunt down those responsible, and use every tool at our disposal ?
pledge;--;doc2.txt;--;At this moment, in this election, we must pledge once more to march into the future.
entire;--;doc4.txt;--;When people are judged by merit, not connections, then the best and brightest can lead the country, people will work hard, and the entire economy will grow - everyone will benefit and more resources will be available for all, not just select groups.
entire;--;doc3.txt;--;And so I am eager to have this argument not just with the President, but the entire Republican Party over what this country is about.
entire;--;doc5.txt;--;But neither Iran nor Syria want to see a security vacuum in Iraq filled with chaos, terrorism, refugees, and violence, as it could have a destabilizing effect throughout the entire region ?
school;--;doc4.txt;--;I had just finished three years of work as a community organizer in low-income neighborhoods of Chicago, and was about to enroll in law school.
school;--;doc1.txt;--;After three years of this work, I went to law school, because I wanted to understand how the law should work for those in need.
school;--;doc3.txt;--;At one point, Kozol tells about his trip to Fremont High School in Los Angeles, where he met a girl who tells him that she'd taken hairdressing twice, because there were actually two different levels offered by the high school.
obvious;--;doc4.txt;--;It is painfully obvious that corruption stifles development - it siphons off scarce resources that could improve infrastructure, bolster education systems, and strengthen public health.
obvious;--;doc5.txt;--;The National Intelligence Estimate, which details how we’re creating more terrorists in Iraq than we’re defeating, is the most obvious example of how the war is hurting our efforts in the larger battle against terrorism.
succeed;--;doc1.txt;--;Let's set high standards for our schools and give them the resources they need to succeed.
succeed;--;doc6.txt;--;Some weapons experts believe that terrorists are likely to find enough fissile material to build a bomb in the next ten years - and we can imagine with horror what the world will be like if they succeed.
facilities;--;doc6.txt;--;Many of these aging research facilities have the largest, least secure quantities of highly enriched uranium in the world - the quickest way to a nuclear weapon.
issue;--;doc4.txt;--;The Kenyan media has been courageous in uncovering and reporting on some of the most blatant abuses of the system, and there has been a growing recognition among people and politicians that this is a critical issue.
issue;--;doc5.txt;--;It is simply not productive for us not to engage in discussions with Iran and Syria on an issue of such fundamental importance to all of us.
issue;--;doc2.txt;--;The truth is, on issue after issue that would make a difference in your lives - on health care and education and the economy - Senator McCain has been anything but independent.
companies;--;doc1.txt;--;Let's protect the hard-earned benefits their companies have promised.
companies;--;doc3.txt;--;The party that's not bought and paid for by the oil companies.
companies;--;doc2.txt;--;And as someone who watched my mother argue with insurance companies while she lay in bed dying of cancer, I will make certain those companies stop discriminating against those who are sick and need care the most.
solution;--;doc5.txt;--;The goal of this conference should be to get foreign fighters out of Iraq, prevent a further descent into civil war, and push the various Iraqi factions towards a political solution.
solution;--;doc2.txt;--;Now is the time to end this addiction, and to understand that drilling is a stop-gap measure, not a long-term solution.
standards;--;doc4.txt;--;You will decide if the standards and the rules will be the same for everyone - regardless of ethnicity or of wealth.
standards;--;doc1.txt;--;Let's set high standards for our schools and give them the resources they need to succeed.
standards;--;doc2.txt;--;And in exchange, I'll ask for higher standards and more accountability.
leave;--;doc3.txt;--;Our time to leave our children a country that is freer and kinder, more prosperous and more just than the place we grew up.
leave;--;doc2.txt;--;Now is the time to help families with paid sick days and better family leave, because nobody in America should have to choose between keeping their jobs and caring for a sick child or ailing parent.
settle;--;doc1.txt;--;In the face of a politics that's shut you out, that's told you to settle, that's divided us for too long, you believe we can be one people, reaching for what's possible, building that more perfect union.
settle;--;doc3.txt;--;Well it's time we finally said we notice, and we care, and we're not gonna settle anymore.
settle;--;doc2.txt;--;If your hopes have been dashed again and again, then it's best to stop hoping, and settle for what you already know.
world-class;--;doc3.txt;--;That in a global economy that's more connected and more competitive - we are the party that will guarantee every American an affordable, world-class, top-notch, life-long education - from early childhood to high school, from college to on-the-job training.
world-class;--;doc2.txt;--;Now is the time to finally meet our moral obligation to provide every child a world-class education, because it will take nothing less to compete in the global economy.
small;--;doc4.txt;--;I slept on the couch of my sister's apartment, not a fancy hotel, and often took my meals at a small tea-house in downtown Nairobi.
small;--;doc1.txt;--;And I accepted the job, sight unseen, motivated then by a single, simple, powerful idea - that I might play a small part in building a better America.
small;--;doc6.txt;--;"Let us not be blind to our differences--but let us also direct attention to our common interests and to the means by which those differences can be resolved...For in the final analysis, our most basic common link is that we all inhabit this small planet.
small;--;doc5.txt;--;a willingness on the part of each of us to look past what is petty and small and sensational, and look ahead to what is necessary and purposeful.
small;--;doc2.txt;--;You make a big election about small things.
biological;--;doc6.txt;--;And we need to work together to obtain a bilateral agreement on biological threat reduction.
biological;--;doc5.txt;--;And on a trip to the former Soviet Union, I have seen the biological and nuclear weapons terrorists could easily steal while the world looks the other way.
enjoy;--;doc4.txt;--;This is the Kenya that so many who came before you envisioned - all those men and women who struggled and sacrificed and fought for the freedom you enjoy today.
prevent;--;doc6.txt;--;Today, experts tell us that we're in a race against time to prevent this scenario from unfolding.
prevent;--;doc5.txt;--;We should also make it clear that, even after we begin to drawdown forces, we will still work with our allies in the region to combat international terrorism and prevent the spread of weapons of mass destruction.
prevent;--;doc2.txt;--;But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression.
talked;--;doc1.txt;--;We've talked about them for years.
talked;--;doc3.txt;--;And so I said fine, and I met her, and we talked.
force;--;doc3.txt;--;That we're better off if we dismantle it - if we divvy it up into individual tax breaks, hand 'em out, and encourage everyone to go buy your own health care, your own retirement security, your own child care, their own schools, your own private security force, your own roads, their own levees...
force;--;doc5.txt;--;The Chairman of the Joint Chiefs recently said that if a conflict arose in North Korea, we’d have to largely rely on the Navy and Air Force to take care of it, since the Army and Marines are engaged elsewhere.
leaders;--;doc4.txt;--;You will decide if your leaders will be held accountable, or if you will look the other way.
leaders;--;doc3.txt;--;These are Americans who still dream big dreams -they just sense their leaders have forgotten how.
leaders;--;doc5.txt;--;In each case, what has been required to meet the challenges we face has been good judgment and clear vision from our leaders, and a fundamental seriousness and engagement on the part of the American people ?
leaders;--;doc2.txt;--;I am grateful to finish this journey with one of the finest statesmen of our time, a man at ease with everyone from world leaders to the conductors on the Amtrak train he still takes home every night.
ten;--;doc4.txt;--;Instead of a motorcade, we traveled in my sister's old VW Beetle, which even then was already ten years old.
ten;--;doc6.txt;--;Some weapons experts believe that terrorists are likely to find enough fissile material to build a bomb in the next ten years - and we can imagine with horror what the world will be like if they succeed.
ten;--;doc2.txt;--;And for the sake of our economy, our security, and the future of our planet, I will set a clear goal as President: in ten years, we will finally end our dependence on oil from the Middle East.
tired;--;doc3.txt;--;We're tired of being divided, tired of running into ideological walls and partisan roadblocks, tired of appeals to our worst instincts and greatest fears.
streets;--;doc4.txt;--;Terrorist attacks - like those that have shed Kenyan blood and struck at the heart of the Kenyan economy - are facilitated by customs and border officers who can be paid off, by police forces so crippled by corruption that they do not protect the personal safety of Kenyans walking the streets of Nairobi, and by forged documents that are easy to find in a climate where graft and fraud thrive.
streets;--;doc5.txt;--;They have seen their sons and daughters killed or wounded in the streets of Fallujah.
streets;--;doc2.txt;--;We are more compassionate than a government that lets veterans sleep on our streets and families slide into poverty; that sits on its hands while a major American city drowns before our eyes.
direct;--;doc6.txt;--;"Let us not be blind to our differences--but let us also direct attention to our common interests and to the means by which those differences can be resolved...For in the final analysis, our most basic common link is that we all inhabit this small planet.
direct;--;doc2.txt;--;But I will also renew the tough, direct diplomacy that can prevent Iran from obtaining nuclear weapons and curb Russian aggression.
voting;--;doc3.txt;--;She kept on voting in each and every election because she believed.
past;--;doc1.txt;--;And if you will join me in this improbable quest, if you feel destiny calling, and see as I see, a future of endless possibility stretching before us; if you sense, as I sense, that the time is now to shake off our slumber, and slough off our fear, and make good on the debt we owe past and future generations, then I'm ready to take up the cause, and march with you, and work with you.
past;--;doc3.txt;--;But in our past there has been another term for it - Social Darwinism - every man or women for him or herself.
past;--;doc5.txt;--;In the past, it has been movements for freedom from within tyrannical regimes that have led to flourishing democracies; movements that continue today.
past;--;doc2.txt;--;For eighteen long months, you have stood up, one by one, and said enough to the politics of the past.
second;--;doc6.txt;--;I want to turn to a second critical area: biological weapons threat reduction programs.
second;--;doc3.txt;--;I've thought about how she lived to see a world war and a Great Depression and a second world war, and how she saw her brothers and uncles and nephews and cousins coming home from those wars and still have to sit at the back of a bus.
second;--;doc5.txt;--;The second lesson is that in any conflict, it is not enough to simply plan for war; you must also plan for success.
second;--;doc2.txt;--;The reality of gun ownership may be different for hunters in rural Ohio than for those plagued by gang-violence in Cleveland, but don't tell me we can't uphold the Second Amendment while keeping AK-47s out of the hands of criminals.
cost;--;doc3.txt;--;We've seen the cost of health care and child care and gasoline skyrocket.
cost;--;doc5.txt;--;There is one other place where our mistakes in Iraq have cost us dearly ?
cost;--;doc2.txt;--;But I will also go through the federal budget, line by line, eliminating programs that no longer work and making the ones we do need work better and cost less - because we cannot meet twenty-first century challenges with a twentieth century bureaucracy.
lawyer;--;doc1.txt;--;But the life of a tall, gangly, self-made Springfield lawyer tells us that a different future is possible.
